precipitation,quality_code,modified_date,station_id,name,ref,lat,lon,altitude
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.2,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.1,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.3,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.9000000000000001,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.4,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.1,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.2000000000000002,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
1.3,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.8,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.1,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.9,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.2,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
0.0,200.0,2020-11-15 23:01:16,f038249a098b3c76a13504ef,Christchurch Aero,324501,-43.481339999999996,172.5331,32.22
